product_id,category,review_cnt,avg_text_len,positive_rate,negative_rate,sentiment_中评_rate,sentiment_好评_rate,sentiment_差评_rate,intent_价格优惠_rate,intent_售后退换_rate,intent_商品反馈_rate,intent_商品咨询_rate,intent_喂养咨询_rate,intent_未知意图_rate,intent_物流发货_rate,bert_pca_0,bert_pca_1,bert_pca_2,bert_pca_3,bert_pca_4,bert_pca_5,bert_pca_6,bert_pca_7,bert_pca_8,bert_pca_9,bert_pca_10,bert_pca_11,bert_pca_12,bert_pca_13,bert_pca_14,bert_pca_15,bert_pca_16,bert_pca_17,bert_pca_18,bert_pca_19,bert_pca_20,bert_pca_21,bert_pca_22,bert_pca_23,bert_pca_24,bert_pca_25,bert_pca_26,bert_pca_27,bert_pca_28,bert_pca_29,bert_pca_30,bert_pca_31,bert_pca_32,bert_pca_33,bert_pca_34,bert_pca_35,bert_pca_36,bert_pca_37,bert_pca_38,bert_pca_39,bert_pca_40,bert_pca_41,bert_pca_42,bert_pca_43,bert_pca_44,bert_pca_45,bert_pca_46,bert_pca_47,bert_pca_48,bert_pca_49,bert_pca_50,bert_pca_51,bert_pca_52,bert_pca_53,bert_pca_54,bert_pca_55,bert_pca_56,bert_pca_57,bert_pca_58,bert_pca_59,bert_pca_60,bert_pca_61,bert_pca_62,bert_pca_63
1681975,cat_food,8,28.5,0.125,0.0,0.5,0.375,0.125,0.25,0.0,0.0,0.5,0.125,0.0,0.125,1.25041,-2.1305459,-0.70683557,3.3343322,0.6711474,-0.4364611,-0.4899428,-0.4620884,-0.1433634,-0.8526844,0.37501532,-0.1459257,-0.8105293,-0.009469379,-1.0032637,0.74911535,0.33538544,1.6325011,-0.13740242,0.42273098,-0.6045625,-0.1367284,-0.1729556,-0.41768032,-0.37866867,-0.15515254,0.09328853,-0.01900354,0.006434366,0.39084756,-0.06713131,0.015364882,-0.24590504,-0.16943067,0.47265768,0.10934039,-0.06236846,0.015888318,-0.27504337,0.19394371,-0.44265357,-0.23353332,0.052441034,0.08251062,-0.12143124,0.34301394,-0.0552303,0.23676673,-0.25506595,-0.31090343,0.1701015,-0.115072384,0.2717036,-0.3899951,-0.09778587,0.015397428,0.16646358,-0.026790675,0.24531582,0.32505235,0.2090885,0.07380968,0.11818159,0.030580208
1682006,cat_food,28,38.642857142857146,0.2142857142857142,0.3571428571428571,0.3571428571428571,0.25,0.3928571428571428,0.1071428571428571,0.0357142857142857,0.0,0.5,0.1428571428571428,0.0,0.2142857142857142,1.5823656,-0.5617647,-0.8722293,0.36498627,0.5342467,-0.28316665,0.07943975,0.21324538,0.08997323,0.28572088,0.522203,-0.4883359,-0.649319,0.04975095,-0.27272937,-0.23717496,0.0052668387,0.10890386,-0.22532313,0.63273525,-0.29101512,-0.31839737,-0.012540206,0.08572311,-0.3245794,-0.37534744,0.2490886,-0.04152578,-0.34702906,-0.10649276,0.12859368,-0.13411342,0.060545016,-0.19910292,0.12414806,-0.19000901,-0.01388907,0.41203505,-0.08930702,-0.2046902,-0.07612324,-0.32251385,-0.1303028,-0.19284317,0.0065866685,0.14861801,-0.10631515,-0.035501897,-0.03855164,-0.0659344,-0.19858302,0.0019176496,-0.076548256,-0.01133274,0.06194678,-0.08031867,0.1400528,-0.086783655,0.14732507,-0.05972535,0.08634467,-0.10890298,0.015870279,-0.0057903016
3197317,dog_food,40,46.225,0.225,0.425,0.325,0.25,0.425,0.175,0.15,0.0,0.375,0.1,0.0,0.2,1.3791723,1.3046346,-1.7451582,-0.5759517,0.5460396,0.5091531,-0.6341453,-0.43472856,0.04691106,0.007217319,-0.52543783,0.3917762,0.26429957,0.23702344,0.42718172,-0.13254263,-0.25272804,0.15159824,0.006146734,0.0071507916,0.123509005,-0.13423726,-0.39920643,-0.21091683,0.11219406,0.21305248,0.3717628,0.08783958,-0.059880983,-0.054133426,-0.25778192,-0.04080711,-0.07516202,-0.2694963,-0.1896325,-0.15490863,-0.13313678,0.16725491,-0.1032506,-0.036949083,-0.007890954,-0.17819554,-0.0012653269,0.06973101,-0.14460096,0.111549996,0.074381456,0.11821605,-0.017848853,0.06402297,-0.10672222,0.20466891,-0.03762668,-0.12889636,-0.124132015,-0.057148356,-0.009881374,0.06429121,0.010248114,0.17511067,-0.098191224,0.016234402,0.024018068,0.028596044
3197421,dog_food,16,56.5,0.0625,0.6875,0.25,0.0625,0.6875,0.0,0.0625,0.0,0.6875,0.0,0.0,0.25,1.9226243,-0.08341111,-3.3977187,-0.34400883,-0.35449517,0.56811243,0.01645014,-0.22513458,-0.0592781,0.8128136,-0.1542213,0.5875983,0.10245065,0.17889261,0.7201492,-0.22133599,-0.2059162,-0.11294602,-0.3324592,-0.28736678,-0.11523245,-0.04514865,-0.017154004,-0.29163542,-0.08115814,0.27185965,0.48924425,-0.26933485,-0.10057474,-0.11794979,-0.18721673,-0.48149368,-0.044540763,0.017812207,0.09733904,0.0630516,-0.10777933,0.2850099,0.15588117,-0.0033008568,0.32678434,-0.12579155,-0.113803655,0.022061616,-0.023800556,0.03257028,0.022391547,0.07456411,-0.2209546,-0.054642152,-0.08907125,0.25732186,0.22493532,-0.007951008,0.011546612,0.12529254,-0.023087218,0.11132909,0.14251892,0.1378353,-0.24354501,-0.20668605,0.20458291,0.087322146
3197429,dog_food,23,36.60869565217392,0.0869565217391304,0.5652173913043478,0.217391304347826,0.1304347826086956,0.6521739130434783,0.0434782608695652,0.1304347826086956,0.0,0.6086956521739131,0.1739130434782608,0.0,0.0434782608695652,2.5913763,0.6354946,-2.4150426,0.2845457,0.1271045,-0.75498915,-0.6329661,-0.86129344,-0.12051638,0.7312563,-0.7527589,0.25592992,-0.1614544,0.6206743,1.045626,-0.2005379,-0.4275628,0.18393251,-0.08623446,-0.27449027,-0.08257938,0.20311119,-0.051129736,-0.4931818,-0.023107965,0.29025006,-0.047394842,0.11925298,0.1650076,0.044661712,-0.21920963,-0.27480182,0.24183717,0.054286703,-0.23907533,0.3003592,-0.11108247,0.16492005,-0.092456155,-0.27964228,0.050585307,-0.09596519,-0.22285642,0.007537142,0.06716114,-0.075792015,0.07220093,0.22788705,0.23157926,0.07458144,-0.14908345,0.17607287,0.13690977,-0.030398631,-0.1329553,0.22972828,0.06087216,-0.132173,-0.13641272,0.11328896,0.08192863,0.21502346,-0.024501173,0.17672826
3409140,cat_food,24,35.25,0.2916666666666667,0.4583333333333333,0.2083333333333333,0.2916666666666667,0.5,0.2083333333333333,0.0,0.0,0.625,0.0833333333333333,0.0,0.0833333333333333,1.0111567,-0.5908622,-0.32952654,-0.16492148,0.5485006,0.27496144,0.030380353,0.2011172,0.26052633,0.13610262,-0.20040299,0.062319946,-0.599876,0.5678101,-0.6170866,-0.09831613,0.005246077,0.36252406,0.5094601,0.19423638,-0.04969618,-0.29849705,0.21115492,0.13481532,-0.05342844,-0.27309105,0.039331455,-0.097075365,-0.4479886,0.2106676,0.015825877,-0.26541966,0.3355384,0.06842693,-0.04132352,-0.33676112,0.121335566,0.1927005,-0.082579374,-0.06317934,0.12545474,-0.10770401,-0.2833961,-0.15391427,-0.2355312,0.04865386,0.1151062,0.0749103,-0.15120724,-0.043529674,-0.07063022,0.12219196,0.17630172,-0.0990518,0.31350687,-0.08896921,0.052274555,-0.17463608,-0.07307348,0.031080237,-0.044798072,-0.14834233,-0.13662247,0.08355013
3409144,cat_food,8,22.625,0.0,0.625,0.375,0.0,0.625,0.125,0.0,0.0,0.875,0.0,0.0,0.0,3.0328429,-1.0970811,-0.16087908,0.69003624,0.9843247,0.31009412,0.4839897,1.1161414,0.0983945,0.32503983,-0.12434423,-0.30342788,-0.7232144,-0.6051531,-0.42674527,-1.273795,-0.14678572,0.6376276,-0.22457524,-0.052976385,0.09869228,-0.66774464,0.037621595,0.43536943,0.2590889,0.7556798,0.27937508,-0.48771006,-0.42438036,0.2868332,-0.0022203103,-0.026457492,0.23815289,0.054595098,-0.14330049,0.3341381,-0.43464434,-0.43818384,0.22958493,-0.41677713,-0.1221292,0.2731374,0.7798717,0.048580818,0.2323903,0.090153255,0.07530336,-0.20894106,-0.12289113,0.11157207,-0.423088,0.29722664,0.18409748,0.24759072,0.06583818,-0.08091394,-0.1576321,-0.26704147,0.2484001,-0.027903818,-0.102151945,-0.21470718,-0.12988266,-0.20468044
3627132,dog_food,23,58.52173913043478,0.4347826086956521,0.217391304347826,0.1739130434782608,0.5652173913043478,0.2608695652173913,0.217391304347826,0.0869565217391304,0.0434782608695652,0.391304347826087,0.1304347826086956,0.0,0.1304347826086956,-0.49942684,-0.55562,-0.38602108,-0.30312878,1.2292894,0.16003563,-0.054773785,-0.1601377,-0.16378793,0.7048039,0.07978322,-0.84473413,0.015909752,-0.40290776,0.6278089,0.7470097,-0.40366837,0.0014897274,-0.20589735,0.31909832,0.1515436,-0.058839574,-0.06339778,-0.26374942,0.018475424,-0.14638391,0.4043541,0.15028583,0.2661744,0.052098576,-0.03135208,0.20221716,-0.1737554,0.027613496,-0.01375402,-0.2219859,0.034244217,-0.0019685107,0.16690269,0.018828498,-0.10487853,0.058429003,-0.0052374513,0.34090295,-0.15191214,0.12013607,0.018199468,-0.035123337,0.018722078,0.0030556216,0.024679983,0.21135165,-0.09625969,0.010059468,-0.0063251522,0.054196995,0.036419768,-0.08915558,0.20460941,-0.068147406,0.06279397,-0.15588373,-0.08246409,0.06022922
3627320,dog_food,48,43.333333333333336,0.25,0.4375,0.2291666666666666,0.2916666666666667,0.4791666666666667,0.1041666666666666,0.0625,0.0208333333333333,0.5833333333333334,0.1458333333333333,0.0,0.0833333333333333,1.2342451,-0.5191367,-0.9800542,0.18630894,0.85834837,-0.2631032,0.04469608,-0.53685707,0.32383537,0.5339833,-0.32650924,-0.4976165,0.3315826,0.21319373,0.24251954,0.42948696,-0.14440845,0.04281706,-0.22316766,-0.05627499,0.12614821,-0.35644493,-0.037826534,0.039983414,0.022825962,0.27189603,0.5088175,-0.048729982,0.0093628755,-0.06460697,-0.1067783,-0.04760321,0.04557867,0.10735916,-0.24456601,0.20794903,-0.109062225,0.10477254,-0.059451748,-0.14281856,0.11060211,-0.079588056,-0.07732602,-0.03465588,0.06054899,0.021803549,0.008871277,-0.0898346,0.0939103,-0.020010404,0.0021054216,0.08199057,-0.12271092,0.13746728,0.0023554433,0.17233412,0.044785928,-0.15438233,0.1263073,-0.02512378,0.051270172,-0.08990239,-0.24351369,0.044140548
4246893,pet_product,21,27.09523809523809,0.238095238095238,0.3809523809523809,0.3333333333333333,0.2857142857142857,0.3809523809523809,0.0952380952380952,0.1428571428571428,0.0952380952380952,0.6666666666666666,0.0,0.0,0.0,3.3135943,-0.40101886,0.10924593,0.82347786,0.14742982,0.34232038,1.1118902,-0.3045283,0.32025608,0.24901602,0.15356159,1.0991253,0.49426475,0.16012649,0.983578,0.63237315,0.16432741,0.120938085,0.35732242,0.17867528,0.7366613,-0.08858552,-0.6864965,-0.43250602,0.10530691,-0.48933965,0.39953083,-0.34245506,0.1169905,0.08415462,0.27429157,0.27016932,-0.03527326,-0.30315736,-0.079638354,-0.06375162,-0.15517077,0.06765598,-0.052213628,0.1653231,-0.12529118,0.15183236,0.07795729,-0.32403302,-0.103470735,0.07712102,0.249633,0.21753949,0.26272807,-0.17349923,-0.3978757,-0.05310859,0.13879135,0.09119571,0.03241763,0.12060391,-0.09884368,0.075892724,-0.062419567,0.0062650186,0.14481518,0.057078406,-0.19303052,0.10945016
